x,y
0.433644,0.979885
0.433644,0.979885
0.433518,0.984884
0.433391,0.989882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433330,0.999882
0.433268,1.009882
0.433142,1.014880
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.433015,1.019878
0.432953,1.029878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432892,1.039878
0.432765,1.044876
0.432639,1.049875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432577,1.059875
0.432451,1.064873
0.432324,1.069871
0.432324,1.069871
0.432263,1.079871
0.432263,1.079871
0.432263,1.079871
0.432263,1.079871
0.432263,1.079871
0.432263,1.079871
0.432263,1.079871
0.432263,1.079871
0.432136,1.084870
0.432009,1.089868
0.431882,1.094866
0.431755,1.099865
0.431629,1.104863
0.431629,1.104863
0.431629,1.104863
0.431629,1.104863
0.431629,1.104863
0.431629,1.104863
0.431629,1.104863
0.431502,1.109862
0.431375,1.114860
0.431248,1.119858
0.431187,1.129858
0.431187,1.129858
0.431187,1.129858
0.431187,1.129858
0.431187,1.129858
0.431187,1.129858
0.431187,1.129858
0.431060,1.134856
0.431060,1.134856
0.430615,1.144847
0.430488,1.149845
0.430361,1.154843
0.430361,1.154843
0.430361,1.154843
0.430361,1.154843
0.430361,1.154843
0.430361,1.154843
0.430361,1.154843
0.430361,1.154843
0.430234,1.159842
0.430234,1.159842
0.430108,1.164840
0.429662,1.174830
0.429535,1.179829
0.429535,1.179829
0.429535,1.179829
0.429535,1.179829
0.429535,1.179829
0.429535,1.179829
0.429535,1.179829
0.429535,1.179829
0.429408,1.184827
0.429281,1.189825
0.429220,1.199825
0.429220,1.199825
0.429220,1.199825
0.429093,1.204824
0.429093,1.204824
0.429093,1.204824
0.429093,1.204824
0.429093,1.204824
0.428775,1.209813
0.428456,1.214803
0.428010,1.224793
0.428010,1.224793
0.428010,1.224793
0.427883,1.229792
0.427883,1.229792
0.427883,1.229792
0.427883,1.229792
0.427756,1.234790
0.427630,1.239788
0.427630,1.239788
0.427568,1.249788
0.427568,1.249788
0.427568,1.249788
0.427568,1.249788
0.427568,1.249788
0.427568,1.249788
0.427568,1.249788
0.427568,1.249788
0.427442,1.254787
0.427315,1.259785
0.427188,1.264783
0.426742,1.274774
0.426742,1.274774
0.426615,1.279772
0.426615,1.279772
0.426615,1.279772
0.426615,1.279772
0.426615,1.279772
0.426681,1.284771
